
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     31  31   1 31         33 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     32  32   1 32         34 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     33  33   1 33         35 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     34  34   1 34         36 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     35  35   1 35         37 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     36  36   1 36         38 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     37  37   1 37         39 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     38  38   1 38         40 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     39  39   1 39         41 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     40  40   1 40         42 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     41  41   1 41         43 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     42  42   1 42         44 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     43  43   1 43         45 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     44  44   1 44         46 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     45  45   1 45         47 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     46  46   1 46         48 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     47  47   1 47         49 0 B14_L5_P            (2-331-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     48  48   1 48         50 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     49  49   1 49         51 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     50  50   1 50         52 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     51  51   1 FIX1        1 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     52  52   1 FIX2        2 0 GND                 (2-3-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     53  53   1 51         53 0 B14_L20_P           (2-333-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     54  54   1 52         54 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     55  55   1 53         55 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     56  56   1 54         56 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     57  57   1 55         57 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     58  58   1 56         58 0                     (0-0-0)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     59  59   1 57         59 0 B13_L13_P           (2-5-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     60  60   1 58         60 0 B13_L12_P           (2-19-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     61  61   1 59         61 0 B13_L13_N           (2-6-13)
LSHM-130-04.0-L-DV-A-N-K-TR      JB3                                3   1     62  62   1 60         62 0 B13_L12_N           (2-20-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1      1   1   1 1           3 0 3V3_MB_FILT         (874-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1      2   2   1 2           4 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1      3   3   1 3           5 0 3V3_MB_FILT         (874-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1      4   4   1 4           6 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1      5   5   1 5           7 0 3V3_MB_FILT         (874-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1      6   6   1 6           8 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1      7   7   1 7           9 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1      8   8   1 8          10 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1      9   9   1 9          11 0 2V5_MB              (2-356-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     10  10   1 10         12 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     11  11   1 11         13 0 2V5_MB              (2-356-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     12  12   1 12         14 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     13  13   1 13         15 0 3V3_MB              (188-4-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     14  14   1 14         16 0 3V3_MB              (188-4-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     15  15   1 15         17 0 3V3_MB              (188-4-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     16  16   1 16         18 0 B13_L6_N            (4-79-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     17  17   1 17         19 0 B13_L3_P            (4-83-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     18  18   1 18         20 0 B13_L6_P            (4-80-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     19  19   1 19         21 0 B13_L3_N            (4-84-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     20  20   1 20         22 0 GND                 (2-3-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     21  21   1 21         23 0 B13_L11_N           (4-85-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     22  22   1 22         24 0 B13_L5_N            (4-81-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     23  23   1 23         25 0 B13_L11_P           (4-86-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     24  24   1 24         26 0 B13_L5_P            (4-82-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     25  25   1 25         27 0 B13_L9_N            (4-87-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     26  26   1 26         28 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     27  27   1 27         29 0 B13_L9_P            (4-88-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     28  28   1 28         30 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     29  29   1 29         31 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     30  30   1 30         32 0 PGOOD,SW2_OK        (376-16-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     31  31   1 31         33 0 B16_L22_P           (4-100-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     32  32   1 32         34 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     33  33   1 33         35 0 B16_L22_N           (4-101-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     34  34   1 34         36 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     35  35   1 35         37 0 B16_L24_N           (4-102-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     36  36   1 36         38 0 B16_L16_P           (4-106-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     37  37   1 37         39 0 B16_L24_P           (4-103-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     38  38   1 38         40 0 B16_L16_N           (4-107-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     39  39   1 39         41 0 1V8                 (95-20-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     40  40   1 40         42 0 B16_L19_N           (4-104-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     41  41   1 41         43 0 B16_L23_P           (4-94-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     42  42   1 42         44 0 B16_L19_P           (4-105-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     43  43   1 43         45 0 B16_L23_N           (4-95-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     44  44   1 44         46 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     45  45   1 45         47 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     46  46   1 46         48 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     47  47   1 47         49 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     48  48   1 48         50 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     49  49   1 49         51 0 B16_L20_P           (4-98-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     50  50   1 50         52 0 B16_L18_N           (4-110-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     51  51   1 FIX1        1 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     52  52   1 FIX2        2 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     53  53   1 51         53 0 B16_L20_N           (4-99-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     54  54   1 52         54 0 B16_L18_P           (4-111-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     55  55   1 53         55 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     56  56   1 54         56 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     57  57   1 55         57 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     58  58   1 56         58 0 B16_L9_N            (4-112-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     59  59   1 57         59 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     60  60   1 58         60 0 B16_L9_P            (4-113-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     61  61   1 59         61 0 B16_L13_N           (856-2-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     62  62   1 60         62 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     63  63   1 61         63 0 B16_L13_P           (856-1-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     64  64   1 62         64 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     65  65   1 63         65 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     66  66   1 64         66 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     67  67   1 65         67 0 B16_L14_P           (4-136-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     68  68   1 66         68 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     69  69   1 67         69 0 B16_L14_N           (4-137-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     70  70   1 68         70 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     71  71   1 69         71 0 B16_L3_N            (4-138-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     72  72   1 70         72 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     73  73   1 71         73 0 B16_L3_P            (4-139-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     74  74   1 72         74 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     75  75   1 73         75 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     76  76   1 74         76 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     77  77   1 75         77 0 B16_L12_P           (4-140-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     78  78   1 76         78 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     79  79   1 77         79 0 B16_L12_N           (4-141-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     80  80   1 78         80 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     81  81   1 79         81 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     82  82   1 80         82 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     83  83   1 81         83 0 B16_L8_N            (4-144-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     84  84   1 82         84 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     85  85   1 83         85 0 B16_L8_P            (4-145-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     86  86   1 84         86 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     87  87   1 85         87 0 B14_L18_N           (4-143-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     88  88   1 86         88 0 B16_L6_N            (4-124-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     89  89   1 87         89 0 B14_L18_P           (4-142-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     90  90   1 88         90 0 B16_L6_P            (4-125-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     91  91   1 89         91 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     92  92   1 90         92 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     93  93   1 91         93 0 B14_L9_P            (4-146-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     94  94   1 92         94 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     95  95   1 93         95 0 B14_L9_N            (4-147-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     96  96   1 94         96 0 B16_L4_N            (4-128-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     97  97   1 95         97 0 B14_L4_P            (111-9-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     98  98   1 96         98 0 B16_L4_P            (4-129-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1     99  99   1 97         99 0 B14_L4_N            (111-10-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1    100 100   1 98        100 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1    101 101   1 99        101 0 B14_L24_N           (4-127-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB1                                1   1    102 102   1 100       102 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1      1   1   1 1           3 0 2V5_MB              (2-356-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1      2   2   1 2           4 0 3V3_MB              (188-4-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1      3   3   1 3           5 0 2V5_MB              (2-356-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1      4   4   1 4           6 0 3V3_MB              (188-4-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1      5   5   1 5           7 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1      6   6   1 6           8 0 3V3_MB              (188-4-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1      7   7   1 7           9 0 2V5_MB              (2-356-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1      8   8   1 8          10 0 3V3_MB              (188-4-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1      9   9   1 9          11 0 2V5_MB              (2-356-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     10  10   1 10         12 0 3V3_MB              (188-4-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     11  11   1 11         13 0 B14_L8_N            (4-12-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     12  12   1 12         14 0 3V3_MB              (188-4-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     13  13   1 13         15 0 B14_L8_P            (4-13-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     14  14   1 14         16 0 B14_L10_N           (4-2-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     15  15   1 15         17 0 B14_L17_N           (4-14-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     16  16   1 16         18 0 B14_L10_P           (4-1-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     17  17   1 17         19 0 B14_L17_P           (4-15-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     18  18   1 18         20 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     19  19   1 19         21 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     20  20   1 20         22 0 GND                 (2-3-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     21  21   1 21         23 0 B14_L14_P           (4-8-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     22  22   1 22         24 0 B14_L12_P           (4-4-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     23  23   1 23         25 0 B14_L14_N           (4-9-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     24  24   1 24         26 0 B14_L12_N           (4-5-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     25  25   1 25         27 0 B14_L13_P           (4-10-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     26  26   1 26         28 0 B14_L11_P           (4-6-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     27  27   1 27         29 0 B14_L13_N           (4-11-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     28  28   1 28         30 0 B14_L11_N           (4-7-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     29  29   1 29         31 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     30  30   1 30         32 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     31  31   1 31         33 0 B14_L16_P           (4-16-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     32  32   1 32         34 0 B15_L9_N            (4-20-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     33  33   1 33         35 0 B14_L16_N           (4-17-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     34  34   1 34         36 0 B15_L9_P            (4-21-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     35  35   1 35         37 0 B14_L15_P           (4-18-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     36  36   1 36         38 0 B15_L8_N            (4-22-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     37  37   1 37         39 0 B14_L15_N           (4-19-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     38  38   1 38         40 0 B15_L8_P            (4-23-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     39  39   1 39         41 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     40  40   1 40         42 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     41  41   1 41         43 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     42  42   1 42         44 0 B15_L7_N            (4-24-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     43  43   1 43         45 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     44  44   1 44         46 0 B15_L7_P            (4-25-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     45  45   1 45         47 0 B15_L19_P           (4-31-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     46  46   1 46         48 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     47  47   1 47         49 0 B15_L19_N           (4-30-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     48  48   1 48         50 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     49  49   1 49         51 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     50  50   1 50         52 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     51  51   1 FIX1        1 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     52  52   1 FIX2        2 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     53  53   1 51         53 0 B15_L11_P           (4-36-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     54  54   1 52         54 0 B15_L14_P           (4-32-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     55  55   1 53         55 0 B15_L11_N           (4-37-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     56  56   1 54         56 0 B15_L14_N           (4-33-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     57  57   1 55         57 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     58  58   1 56         58 0 B15_L12_P           (1049-2-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     59  59   1 57         59 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     60  60   1 58         60 0 B15_L12_N           (1049-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     61  61   1 59         61 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     62  62   1 60         62 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     63  63   1 61         63 0 B15_L17_N           (4-40-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     64  64   1 62         64 0 B15_L10_N           (4-53-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     65  65   1 63         65 0 B15_L17_P           (4-41-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     66  66   1 64         66 0 B15_L10_P           (4-54-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     67  67   1 65         67 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     68  68   1 66         68 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     69  69   1 67         69 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     70  70   1 68         70 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     71  71   1 69         71 0 GND                 (2-3-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     72  72   1 70         72 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     73  73   1 71         73 0 B15_L1_P            (4-44-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     74  74   1 72         74 0 B15_L20_P           (4-57-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     75  75   1 73         75 0 B15_L1_N            (4-45-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     76  76   1 74         76 0 B15_L20_N           (4-58-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     77  77   1 75         77 0 B15_L2_N            (4-46-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     78  78   1 76         78 0 B15_L15_P           (4-59-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     79  79   1 77         79 0 B15_L2_P            (4-47-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     80  80   1 78         80 0 B15_L15_N           (4-60-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     81  81   1 79         81 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     82  82   1 80         82 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     83  83   1 81         83 0 B15_L4_P            (4-48-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     84  84   1 82         84 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     85  85   1 83         85 0 B15_L4_N            (4-49-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     86  86   1 84         86 0                     (0-0-0)
